|Revista|ISSN|Volume|Número|Submissao|Data de Publicação|Titulo|Secçao|DOI|Autor|Afiliação|Citação
10|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Ines Fortuna|MTG Research and Development Lab. Porto, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
11|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Ivan Luz|Nephrology Department, ULS Médio Tejo EPE. Torres Novas, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
12|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Joao Mario Goncalves|USF Levante, ULS Algarve EPE. Vila Real de Santo António, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
13|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Joao Pedro Nobre|USF Rodrigues Miguéis, ULS de Santa Maria EPE, ACeS Lisboa Norte. Lisboa, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
14|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Joaquim Calado|Nephrology Department, Hospital Curry Cabral, ULS São José EPE. Lisbon, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
15|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Jorge Malheiro|"Nephrology Department, Centro Hospitalar e Universitário de Santo António. Porto, Portugal | Instituto de Ciências Biomédicas de Abel Salazar Universidade do Porto (ICBAS/UP). Porto, Portugal."|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
16|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Leila Cardoso|Internal Medicine Department, Centro Hospitalar Universitário de São João, ULS São João. Porto, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
17|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Leonor Luz-Duarte|"USF Caminho Novo, ULS Gaia Espinho EPE. Vila Nova de Gaia, Portugal | MTG Research and Development Lab. Porto, Portugal."|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
18|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Luis Mendonca|Nephrology Department, Centro Hospitalar Universitário de São João, ULS São João EPE. Porto, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
19|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Luis Rodrigues|Nephrology Department, Centro Hospitalar e Universitário de Coimbra, ULS Coimbra EPE. Coimbra, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
20|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Manuel Amoedo|Nephrology Department, Hospital Espírito Santo de Évora, ULS do Alentejo Central EPE. Évora, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
21|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Miguel Bigotte Vieira|"Nephrology Department, Hospital Curry Cabral, ULS São José EPE. Lisbon, Portugal | NOVA Medical School, Universidade Nova de Lisboa. Lisboa, Portugal."|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
22|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Paula Felgueiras|Internal Medicine Department, ULS Alto Minho EPE. Viana do Castelo, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
23|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Paulo Subtil|Internal Medicine Department, Centro Hospitalar de Trás-os-Montes e Alto Douro, ULS Trás-os-Montes e Alto Douro EPE. Vila Real, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
24|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Rita Lopes|MTG Research and Development Lab. Porto, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
25|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Sofia Homem Melo|Nephrology Department, Hospital de Braga, ULS Braga EPE. Braga, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
26|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Susana Heitor|Internal Medicine Department, Integrated Diabetes Unit, Hospital Prof Doutor Fernando Fonseca, ULS de Amadora/Sintra EPE. Amadora, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
27|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Vital Silva Domingues|"Internal Medicine Department, Centro Hospitalar e Universitário de Santo António, ULS de Santo António EPE. Porto, Portugal | Instituto de Ciências Biomédicas de Abel Salazar Universidade do Porto (ICBAS/UP). Porto, Portugal."|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
28|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Zelia Lopes|Internal Medicine Department, Centro Hospitalar do Tâmega e Sousa - Unidade Padre Américo, ULS do Tâmega e Sousa EPE. Penafiel, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
